step,_epoch_,train,train_epoch_f1_at_03,train_epoch_f1_at_05,train_epoch_f1_at_07,train_epoch_mAP,valid,valid_epoch_f1_at_03,valid_epoch_f1_at_05,valid_epoch_f1_at_07,valid_epoch_mAP
1,{'lr': 0.00075, 'momentum': 0.9},{'f1_at_05': 0.35194810555875294, 'f1_at_03': 0.0017959310574486428, 'f1_at_07': 0.0002490842490842491, 'mAP': 0.007091772744465335, 'f1_at_05/mean': 0.35194810555875294, 'f1_at_05/std': 1.1437417976930475, 'lr': 0.001, 'momentum': 0.9},0.0017959310574486428,0.0005643402986997046,0.0002490842490842491,0.007091772744465335,{'f1_at_05': 0.026864148318767548, 'f1_at_03': 0.0, 'f1_at_07': 0.0, 'mAP': 0.009197163919390917, 'f1_at_05/mean': 0.026864148318767548, 'f1_at_05/std': 0.006884417282779394, 'lr': 0.001, 'momentum': 0.9},0.0,0.0,0.0,0.009197163919390917
2,{'lr': 0.0002500000000000001, 'momentum': 0.9},{'f1_at_05': 0.009634921714663507, 'f1_at_03': 0.001, 'f1_at_07': 0.0, 'mAP': 0.010270012449454516, 'f1_at_05/mean': 0.009634921714663507, 'f1_at_05/std': 0.001694394459673734, 'lr': 0.00075, 'momentum': 0.9},0.001,0.0,0.0,0.010270012449454516,{'f1_at_05': 0.018522556245326994, 'f1_at_03': 0.0, 'f1_at_07': 0.0, 'mAP': 0.010114705945240844, 'f1_at_05/mean': 0.018522556245326994, 'f1_at_05/std': 0.005981564741205705, 'lr': 0.00075, 'momentum': 0.9},0.0,0.0,0.0,0.010114705945240844
3,{'lr': 0.0, 'momentum': 0.9},{'f1_at_05': 0.0075474483743309985, 'f1_at_03': 0.003, 'f1_at_07': 0.0, 'mAP': 0.011516969720954652, 'f1_at_05/mean': 0.0075474483743309985, 'f1_at_05/std': 0.0007270087656162994, 'lr': 0.0002500000000000001, 'momentum': 0.9},0.003,0.0,0.0,0.011516969720954652,{'f1_at_05': 0.014800535172224046, 'f1_at_03': 0.004, 'f1_at_07': 0.0, 'mAP': 0.012831780555536128, 'f1_at_05/mean': 0.014800535172224046, 'f1_at_05/std': 0.005115887082509438, 'lr': 0.0002500000000000001, 'momentum': 0.9},0.004,0.0,0.0,0.012831780555536128
