step,_epoch_,train,train_epoch_f1_at_008,train_epoch_f1_at_01,train_epoch_f1_at_02,train_epoch_f1_at_03,train_epoch_mAP,valid,valid_epoch_f1_at_008,valid_epoch_f1_at_01,valid_epoch_f1_at_02,valid_epoch_f1_at_03,valid_epoch_mAP
1,{'lr': 0.0007983897175980957, 'momentum': 0.9},{'f1_at_008': 0.06716230931895675, 'f1_at_01': 0.06945351614581659, 'f1_at_02': 0.007606026778991549, 'f1_at_03': 0.0006307572085499095, 'mAP': 0.011873776923228083, 'loss': 0.014055256555514572, 'loss/mean': 0.014055256555514572, 'loss/std': 0.07691391407492303, 'lr': 0.0008, 'momentum': 0.9},0.06716230931895675,0.06945351614581659,0.007606026778991549,0.0006307572085499095,0.011873776923228083,{'f1_at_008': 0.08089328902820955, 'f1_at_01': 0.12120778394749798, 'f1_at_02': 0.07033546505104903, 'f1_at_03': 0.013463480309660047, 'mAP': 0.06335851614236553, 'loss': 0.007559086836232499, 'loss/mean': 0.007559086836232499, 'loss/std': 0.002503284686370754, 'lr': 0.0008, 'momentum': 0.9},0.08089328902820955,0.12120778394749798,0.07033546505104903,0.013463480309660047,0.06335851614236553
2,{'lr': 0.0007935718354394519, 'momentum': 0.9},{'f1_at_008': 0.11648459300665652, 'f1_at_01': 0.18056527390946392, 'f1_at_02': 0.09742726482058188, 'f1_at_03': 0.035398254916813955, 'mAP': 0.06863475676309556, 'loss': 0.007659826916679724, 'loss/mean': 0.007659826916679724, 'loss/std': 0.0010330521953393834, 'lr': 0.0007983897175980957, 'momentum': 0.9},0.11648459300665652,0.18056527390946392,0.09742726482058188,0.035398254916813955,0.06863475676309556,{'f1_at_008': 0.13912306242730008, 'f1_at_01': 0.22064433698631356, 'f1_at_02': 0.27176035005048804, 'f1_at_03': 0.1429260630539661, 'mAP': 0.19851219330922745, 'loss': 0.006079615180912605, 'loss/mean': 0.006079615180912605, 'loss/std': 0.002703516962445544, 'lr': 0.0007983897175980957, 'momentum': 0.9},0.13912306242730008,0.22064433698631356,0.27176035005048804,0.1429260630539661,0.19851219330922745
3,{'lr': 0.0007855851442783413, 'momentum': 0.9},{'f1_at_008': 0.18098528149043275, 'f1_at_01': 0.30770701181495086, 'f1_at_02': 0.27986781616105744, 'f1_at_03': 0.15335690037314478, 'mAP': 0.16287607815797125, 'loss': 0.006257321794668077, 'loss/mean': 0.006257321794668077, 'loss/std': 0.0010373582915680687, 'lr': 0.0007935718354394519, 'momentum': 0.9},0.18098528149043275,0.30770701181495086,0.27986781616105744,0.15335690037314478,0.16287607815797125,{'f1_at_008': 0.2243698913439042, 'f1_at_01': 0.38090670623190864, 'f1_at_02': 0.4476834265625918, 'f1_at_03': 0.3337596768764725, 'mAP': 0.29859968276095666, 'loss': 0.005073374792672029, 'loss/mean': 0.005073374792672029, 'loss/std': 0.002721853010003166, 'lr': 0.0007935718354394519, 'momentum': 0.9},0.2243698913439042,0.38090670623190864,0.4476834265625918,0.3337596768764725,0.29859968276095666
4,{'lr': 0.0007744939482558949, 'momentum': 0.9},{'f1_at_008': 0.24060249524144142, 'f1_at_01': 0.3950046730267993, 'f1_at_02': 0.40464500476284, 'f1_at_03': 0.2572166043422672, 'mAP': 0.24009867000005092, 'loss': 0.005475833270798818, 'loss/mean': 0.005475833270798818, 'loss/std': 0.0009952455816241983, 'lr': 0.0007855851442783413, 'momentum': 0.9},0.24060249524144142,0.3950046730267993,0.40464500476284,0.2572166043422672,0.24009867000005092,{'f1_at_008': 0.2559160496332973, 'f1_at_01': 0.42878931911689744, 'f1_at_02': 0.5126446555426696, 'f1_at_03': 0.3926608004359603, 'mAP': 0.35934997170660693, 'loss': 0.004553288091268757, 'loss/mean': 0.004553288091268757, 'loss/std': 0.0023591031364082883, 'lr': 0.0007855851442783413, 'momentum': 0.9},0.2559160496332973,0.42878931911689744,0.5126446555426696,0.3926608004359603,0.35934997170660693
5,{'lr': 0.0007603875471609677, 'momentum': 0.9},{'f1_at_008': 0.2957797874116232, 'f1_at_01': 0.4572777301612764, 'f1_at_02': 0.4665839682673283, 'f1_at_03': 0.3121582679027339, 'mAP': 0.2989537469102906, 'loss': 0.00501443112680422, 'loss/mean': 0.00501443112680422, 'loss/std': 0.0010238962175163333, 'lr': 0.0007744939482558949, 'momentum': 0.9},0.2957797874116232,0.4572777301612764,0.4665839682673283,0.3121582679027339,0.2989537469102906,{'f1_at_008': 0.28707052216367834, 'f1_at_01': 0.44728044246769116, 'f1_at_02': 0.5623382208875309, 'f1_at_03': 0.44777238170035205, 'mAP': 0.4279127959390154, 'loss': 0.004246824390581866, 'loss/mean': 0.004246824390581866, 'loss/std': 0.0023501774745492057, 'lr': 0.0007744939482558949, 'momentum': 0.9},0.28707052216367834,0.44728044246769116,0.5623382208875309,0.44777238170035205,0.4279127959390154
6,{'lr': 0.0007433795174407466, 'momentum': 0.9},{'f1_at_008': 0.3259210131468263, 'f1_at_01': 0.4900113739619632, 'f1_at_02': 0.5059922575156983, 'f1_at_03': 0.3493607240051142, 'mAP': 0.34640353495953247, 'loss': 0.004748522911188496, 'loss/mean': 0.004748522911188496, 'loss/std': 0.001094434062623314, 'lr': 0.0007603875471609677, 'momentum': 0.9},0.3259210131468263,0.4900113739619632,0.5059922575156983,0.3493607240051142,0.34640353495953247,{'f1_at_008': 0.32131299829912946, 'f1_at_01': 0.48837597911230746, 'f1_at_02': 0.6242235792555549, 'f1_at_03': 0.4990126781106249, 'mAP': 0.4741183268508664, 'loss': 0.003967021862800396, 'loss/mean': 0.003967021862800396, 'loss/std': 0.0021450836715537405, 'lr': 0.0007603875471609677, 'momentum': 0.9},0.32131299829912946,0.48837597911230746,0.6242235792555549,0.4990126781106249,0.4741183268508664
7,{'lr': 0.0007236067977499792, 'momentum': 0.9},{'f1_at_008': 0.36137309312197646, 'f1_at_01': 0.5269030546193292, 'f1_at_02': 0.5460901474494607, 'f1_at_03': 0.3898297000813624, 'mAP': 0.3886184928813176, 'loss': 0.004499985414368478, 'loss/mean': 0.004499985414368478, 'loss/std': 0.0009963875730073467, 'lr': 0.0007433795174407466, 'momentum': 0.9},0.36137309312197646,0.5269030546193292,0.5460901474494607,0.3898297000813624,0.3886184928813176,{'f1_at_008': 0.3063687633627065, 'f1_at_01': 0.4918533708335122, 'f1_at_02': 0.600252440255806, 'f1_at_03': 0.47434085044317287, 'mAP': 0.4825463434251087, 'loss': 0.004131576942326331, 'loss/mean': 0.004131576942326331, 'loss/std': 0.0023622989474542133, 'lr': 0.0007433795174407466, 'momentum': 0.9},0.3063687633627065,0.4918533708335122,0.600252440255806,0.47434085044317287,0.4825463434251087
8,{'lr': 0.0007012285864014446, 'momentum': 0.9},{'f1_at_008': 0.3753611267063135, 'f1_at_01': 0.5409740973519275, 'f1_at_02': 0.563505380982866, 'f1_at_03': 0.4159145654726835, 'mAP': 0.410822215414724, 'loss': 0.004363954868507847, 'loss/mean': 0.004363954868507847, 'loss/std': 0.0009877103264500878, 'lr': 0.0007236067977499792, 'momentum': 0.9},0.3753611267063135,0.5409740973519275,0.563505380982866,0.4159145654726835,0.410822215414724,{'f1_at_008': 0.3685712375881637, 'f1_at_01': 0.5143218093875273, 'f1_at_02': 0.6234610372611046, 'f1_at_03': 0.5169030789697231, 'mAP': 0.49661529713782393, 'loss': 0.0038528205964884197, 'loss/mean': 0.0038528205964884197, 'loss/std': 0.0021083961124070444, 'lr': 0.0007236067977499792, 'momentum': 0.9},0.3685712375881637,0.5143218093875273,0.6234610372611046,0.5169030789697231,0.49661529713782393
9,{'lr': 0.000676425059594746, 'momentum': 0.9},{'f1_at_008': 0.3997030775095252, 'f1_at_01': 0.5636159192780738, 'f1_at_02': 0.5799194039788266, 'f1_at_03': 0.43578324153191583, 'mAP': 0.4389955451422215, 'loss': 0.004223561031665024, 'loss/mean': 0.004223561031665024, 'loss/std': 0.0010135033291181481, 'lr': 0.0007012285864014446, 'momentum': 0.9},0.3997030775095252,0.5636159192780738,0.5799194039788266,0.43578324153191583,0.4389955451422215,{'f1_at_008': 0.35788622004472725, 'f1_at_01': 0.541141316890223, 'f1_at_02': 0.6411981040388983, 'f1_at_03': 0.5140264257228242, 'mAP': 0.5260810192050825, 'loss': 0.0037131088013747896, 'loss/mean': 0.0037131088013747896, 'loss/std': 0.0019523976068380729, 'lr': 0.0007012285864014446, 'momentum': 0.9},0.35788622004472725,0.541141316890223,0.6411981040388983,0.5140264257228242,0.5260810192050825
10,{'lr': 0.0006493959207434936, 'momentum': 0.9},{'f1_at_008': 0.409835605766622, 'f1_at_01': 0.5770771322029633, 'f1_at_02': 0.597565522601294, 'f1_at_03': 0.45297186517622506, 'mAP': 0.46168038270033085, 'loss': 0.004099313956885645, 'loss/mean': 0.004099313956885645, 'loss/std': 0.0010177744691394121, 'lr': 0.000676425059594746, 'momentum': 0.9},0.409835605766622,0.5770771322029633,0.597565522601294,0.45297186517622506,0.46168038270033085,{'f1_at_008': 0.392438971843868, 'f1_at_01': 0.5519603324630351, 'f1_at_02': 0.6354018377747762, 'f1_at_03': 0.531474625079472, 'mAP': 0.5313133937349882, 'loss': 0.0039032784800629165, 'loss/mean': 0.0039032784800629165, 'loss/std': 0.0023018554400038214, 'lr': 0.000676425059594746, 'momentum': 0.9},0.392438971843868,0.5519603324630351,0.6354018377747762,0.531474625079472,0.5313133937349882
